snapshot_date,mpn,source,status,http_status,match_type,matched_mpn,lead_time_weeks,detail,collected_at
2026-08-15,1405,digikey,ok,200.0,exact,1405,18.0,,2026-08-15T20:26:01+00:00
2026-08-15,X000048,digikey,ok,200.0,exact,X000048,18.0,,2026-08-15T20:26:04+00:00
2026-08-15,102010019,digikey,ok,200.0,exact,102010019,5.0,,2026-08-15T20:26:07+00:00
2026-08-15,WPB100,digikey,no_lead_time,200.0,exact,WPB100,,"product found, ManufacturerLeadWeeks empty",2026-08-15T20:26:08+00:00
2026-08-15,WPB102,digikey,no_match,200.0,,,,catalog returned 0 products,2026-08-15T20:26:10+00:00
2026-08-15,MIKROE-672,digikey,ok,200.0,exact,MIKROE-672,4.0,,2026-08-15T20:26:11+00:00
2026-08-15,102010168,digikey,ok,200.0,exact,102010168,7.0,,2026-08-15T20:26:12+00:00
2026-08-15,DEV-13975,digikey,ok,200.0,contains,13975,12.0,,2026-08-15T20:26:13+00:00
2026-08-15,MIKROE-671,digikey,ok,200.0,exact,MIKROE-671,4.0,,2026-08-15T20:26:15+00:00
2026-08-15,MIKROE-1581,digikey,ok,200.0,exact,MIKROE-1581,4.0,,2026-08-15T20:26:16+00:00
2026-08-15,2010,digikey,ok,200.0,exact,2010,3.0,,2026-08-15T20:26:17+00:00
2026-08-15,DC2026B,digikey,ok,200.0,exact,DC2026B,16.0,,2026-08-15T20:26:19+00:00
2026-08-15,VM800P50A-BK,digikey,ok,200.0,exact,VM800P50A-BK,29.0,,2026-08-15T20:26:20+00:00
2026-08-15,DEV-15164,digikey,ok,200.0,contains,15164,12.0,,2026-08-15T20:26:21+00:00
2026-08-15,DEV-15123,digikey,ok,200.0,contains,15123,12.0,,2026-08-15T20:26:22+00:00
2026-08-15,WIG-11888,digikey,ok,200.0,contains,11888,12.0,,2026-08-15T20:26:23+00:00
2026-08-15,DEV-11113,digikey,ok,200.0,contains,11113,12.0,,2026-08-15T20:26:25+00:00
2026-08-15,NERO-NP1,digikey,ok,200.0,exact,NERO-NP1,29.0,,2026-08-15T20:26:26+00:00
2026-08-15,DFR0296,digikey,ok,200.0,exact,DFR0296,9.0,,2026-08-15T20:26:27+00:00
2026-08-15,DC2026B-KIT,digikey,ok,200.0,exact,DC2026B-KIT,16.0,,2026-08-15T20:26:28+00:00
2026-08-15,DC2026C,digikey,ok,200.0,exact,DC2026C,10.0,,2026-08-15T20:26:29+00:00
2026-08-15,DFR0162,digikey,ok,200.0,exact,DFR0162,9.0,,2026-08-15T20:26:30+00:00
2026-08-15,3046,digikey,ok,200.0,exact,3046,11.0,,2026-08-15T20:26:32+00:00
2026-08-15,2821,digikey,ok,200.0,exact,2821,3.0,,2026-08-15T20:26:33+00:00
2026-08-15,MOD-WIFI-ESP8266-DEV,digikey,ok,200.0,exact,MOD-WIFI-ESP8266-DEV,5.0,,2026-08-15T20:26:34+00:00
2026-08-15,ESP8266-EVB,digikey,ok,200.0,exact,ESP8266-EVB,5.0,,2026-08-15T20:26:36+00:00
2026-08-15,ESP8266-DEVKITS,digikey,ok,200.0,exact,ESP8266-DEVKITS,8.0,,2026-08-15T20:26:38+00:00
2026-08-15,ESP8266-DEVKITC-02U-F,digikey,ok,200.0,exact,ESP8266-DEVKITC-02U-F,8.0,,2026-08-15T20:26:39+00:00
2026-08-15,MOD-WIFI-ESP8266,digikey,ok,200.0,exact,MOD-WIFI-ESP8266,5.0,,2026-08-15T20:26:41+00:00
